Company Name,Ticker,Industry
"Almaden Minerals","AAU","Mining - Gold"
"Agnico Eagle Mines","AEM","Mining - Gold"
"Andes Gold","AGCZ","Mining - Gold"
"Alamos Gold","AGI","Mining - Gold"
"Athena Gold","AHNR","Mining - Gold"
"American International Ventures","AIVN","Mining - Gold"
"AngloGold Ashanti","AU","Mining - Gold"
"Augusta Gold","AUGG","Mining - Gold"
"Yamana Gold","AUY","Mining - Gold"
"B2Gold Corp","BTG","Mining - Gold"
"Campbell Resources","CBLRF","Mining - Gold"
"Centerra Gold","CGAU","Mining - Gold"
"Caledonia Mining","CMCL","Mining - Gold"
"Dakota Gold Corp.","DC","Mining - Gold"
"Dundee Precious Metals","DPMLF","Mining - Gold"
"DRDGOLD Limited","DRD","Mining - Gold"
"Dakota Territory Resource","DTRC","Mining - Gold"
"Eldorado Gold","EGO","Mining - Gold"
"Equinox Gold","EQX","Mining - Gold"
"FrancoNevada","FNV","Mining - Gold"
"Fury Gold Mines","FURY","Mining - Gold"
"Galiano Gold","GAU","Mining - Gold"
"Gold Reserve","GDRZF","Mining - Gold"
"Gold Fields Limited","GFI","Mining - Gold"
"GoldMining","GLDG","Mining - Gold"
"Barrick Gold","GOLD","Mining - Gold"
"Gold Resource","GORO","Mining - Gold"
"Gold Royalty","GROY","Mining - Gold"
"Gold Standard Ventures","GSV","Mining - Gold"
"Gryphon Gold","GYPHQ","Mining - Gold"
"Harmony Gold","HMY","Mining - Gold"
"Iamgold","IAG","Mining - Gold"
"Idaho Strategic Resources","IDR","Mining - Gold"
"International Precious Minerals Group","IPMG","Mining - Gold"
"Jaguar Mining","JAGGF","Mining - Gold"
"Kinross Gold","KGC","Mining - Gold"
"Comstock Mining","LODE","Mining - Gold"
"Loncor Resources","LONCF","Mining - Gold"
"Minco Capital","MGHCF","Mining - Gold"
"Maverix Metals","MMX","Mining - Gold"
"Mexus Gold US","MXSG","Mining - Gold"
"Northern Dynasty Minerals","NAK","Mining - Gold"
"Newcrest Mining","NCMGY","Mining - Gold"
"New Found Gold Corp.","NFGC","Mining - Gold"
"Novagold Resources","NG","Mining - Gold"
"New Gold","NGD","Mining - Gold"
"Osisko Gold Royalties","OR","Mining - Gold"
"Orla Mining","ORLA","Mining - Gold"
"Orosur Mining","OROXF","Mining - Gold"
"Pelangio Exploration","PGXPF","Mining - Gold"
"GETT GOLD INC","RCCMF","Mining - Gold"
"Renfourth Resources","RFHRF","Mining - Gold"
"Royal Gold","RGLD","Mining - Gold"
"Raven Gold","RVNG","Mining - Gold"
"Royal Standard Minerals","RYSMF","Mining - Gold"
"Seabridge Gold","SA","Mining - Gold"
"Sandstorm Gold","SAND","Mining - Gold"
"Solgold","SLGGF","Mining - Gold"
"Theta Gold Mines Limited","TGMGF","Mining - Gold"
"International Tower Hill Mines","THM","Mining - Gold"
"Tanzanian Gold","TRX","Mining - Gold"
"United Resource Holdings Group","URHG","Mining - Gold"
"US Gold Corp","USAU","Mining - Gold"
"Vista Gold","VGZ","Mining - Gold"
"Zomedica","ZOM","Mining - Gold"
